Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
===> Epoch[4](365/390): Loss_G: 0.1000
===> Epoch[4](366/390): Loss_G: 0.1126
===> Epoch[4](367/390): Loss_G: 0.0915
===> Epoch[4](368/390): Loss_G: 0.0827
===> Epoch[4](369/390): Loss_G: 0.0954
===> Epoch[4](370/390): Loss_G: 0.0858
===> Epoch[4](371/390): Loss_G: 0.1175
===> Epoch[4](372/390): Loss_G: 0.0729
===> Epoch[4](373/390): Loss_G: 0.0792
===> Epoch[4](374/390): Loss_G: 0.0927
===> Epoch[4](375/390): Loss_G: 0.0910
===> Epoch[4](376/390): Loss_G: 0.0887
===> Epoch[4](377/390): Loss_G: 0.0976
===> Epoch[4](378/390): Loss_G: 0.0910
===> Epoch[4](379/390): Loss_G: 0.0831
===> Epoch[4](380/390): Loss_G: 0.0758
===> Epoch[4](381/390): Loss_G: 0.1147
===> Epoch[4](382/390): Loss_G: 0.0827
===> Epoch[4](383/390): Loss_G: 0.1021
===> Epoch[4](384/390): Loss_G: 0.0707
===> Epoch[4](385/390): Loss_G: 0.0985
===> Epoch[4](386/390): Loss_G: 0.0802
===> Epoch[4](387/390): Loss_G: 0.0862
===> Epoch[4](388/390): Loss_G: 0.0873
===> Epoch[4](389/390): Loss_G: 0.1035
===> Epoch[4](390/390): Loss_G: 0.0886
learning rate = 0.0002000
Checkpoint saved to checkpointcifar10
===> Epoch[5](1/390): Loss_G: 0.0865
===> Epoch[5](2/390): Loss_G: 0.0872
===> Epoch[5](3/390): Loss_G: 0.1241
===> Epoch[5](4/390): Loss_G: 0.0976
===> Epoch[5](5/390): Loss_G: 0.0960
===> Epoch[5](6/390): Loss_G: 0.0794
===> Epoch[5](7/390): Loss_G: 0.0969
===> Epoch[5](8/390): Loss_G: 0.0803
===> Epoch[5](9/390): Loss_G: 0.1018
===> Epoch[5](10/390): Loss_G: 0.0845
===> Epoch[5](11/390): Loss_G: 0.1036
===> Epoch[5](12/390): Loss_G: 0.0838
===> Epoch[5](13/390): Loss_G: 0.1083
===> Epoch[5](14/390): Loss_G: 0.0871
===> Epoch[5](15/390): Loss_G: 0.0927
===> Epoch[5](16/390): Loss_G: 0.0767
===> Epoch[5](17/390): Loss_G: 0.0973
===> Epoch[5](18/390): Loss_G: 0.1162
===> Epoch[5](19/390): Loss_G: 0.0950
===> Epoch[5](20/390): Loss_G: 0.0877
===> Epoch[5](21/390): Loss_G: 0.0726
===> Epoch[5](22/390): Loss_G: 0.0843
===> Epoch[5](23/390): Loss_G: 0.0956
===> Epoch[5](24/390): Loss_G: 0.0964
===> Epoch[5](25/390): Loss_G: 0.0874
===> Epoch[5](26/390): Loss_G: 0.0716
===> Epoch[5](27/390): Loss_G: 0.0939
===> Epoch[5](28/390): Loss_G: 0.0762
===> Epoch[5](29/390): Loss_G: 0.0883
===> Epoch[5](30/390): Loss_G: 0.1011
===> Epoch[5](31/390): Loss_G: 0.0907
===> Epoch[5](32/390): Loss_G: 0.0801
===> Epoch[5](33/390): Loss_G: 0.0963
===> Epoch[5](34/390): Loss_G: 0.0795
===> Epoch[5](35/390): Loss_G: 0.0926
===> Epoch[5](36/390): Loss_G: 0.0789
===> Epoch[5](37/390): Loss_G: 0.0746
===> Epoch[5](38/390): Loss_G: 0.0899
===> Epoch[5](39/390): Loss_G: 0.0927
===> Epoch[5](40/390): Loss_G: 0.1131
===> Epoch[5](41/390): Loss_G: 0.0731
===> Epoch[5](42/390): Loss_G: 0.1014
===> Epoch[5](43/390): Loss_G: 0.0802
===> Epoch[5](44/390): Loss_G: 0.0935
===> Epoch[5](45/390): Loss_G: 0.0762
===> Epoch[5](46/390): Loss_G: 0.0990
===> Epoch[5](47/390): Loss_G: 0.1199
===> Epoch[5](48/390): Loss_G: 0.0843
===> Epoch[5](49/390): Loss_G: 0.1095
===> Epoch[5](50/390): Loss_G: 0.0891
===> Epoch[5](51/390): Loss_G: 0.0865
===> Epoch[5](52/390): Loss_G: 0.0853
===> Epoch[5](53/390): Loss_G: 0.1098
===> Epoch[5](54/390): Loss_G: 0.0808
===> Epoch[5](55/390): Loss_G: 0.0835
===> Epoch[5](56/390): Loss_G: 0.0857
===> Epoch[5](57/390): Loss_G: 0.0792
===> Epoch[5](58/390): Loss_G: 0.1043
===> Epoch[5](59/390): Loss_G: 0.1083
===> Epoch[5](60/390): Loss_G: 0.0892
===> Epoch[5](61/390): Loss_G: 0.0840
===> Epoch[5](62/390): Loss_G: 0.1154
===> Epoch[5](63/390): Loss_G: 0.0918
===> Epoch[5](64/390): Loss_G: 0.0930
===> Epoch[5](65/390): Loss_G: 0.0865
===> Epoch[5](66/390): Loss_G: 0.1022
===> Epoch[5](67/390): Loss_G: 0.1014
===> Epoch[5](68/390): Loss_G: 0.0763
===> Epoch[5](69/390): Loss_G: 0.0836
===> Epoch[5](70/390): Loss_G: 0.0693
===> Epoch[5](71/390): Loss_G: 0.0857
===> Epoch[5](72/390): Loss_G: 0.0861
===> Epoch[5](73/390): Loss_G: 0.0897
===> Epoch[5](74/390): Loss_G: 0.0765
===> Epoch[5](75/390): Loss_G: 0.0996
===> Epoch[5](76/390): Loss_G: 0.0844
===> Epoch[5](77/390): Loss_G: 0.1073
===> Epoch[5](78/390): Loss_G: 0.0959
===> Epoch[5](79/390): Loss_G: 0.0816
===> Epoch[5](80/390): Loss_G: 0.1056
===> Epoch[5](81/390): Loss_G: 0.1140
===> Epoch[5](82/390): Loss_G: 0.1017
===> Epoch[5](83/390): Loss_G: 0.0932
===> Epoch[5](84/390): Loss_G: 0.0975
===> Epoch[5](85/390): Loss_G: 0.0731
===> Epoch[5](86/390): Loss_G: 0.0830
===> Epoch[5](87/390): Loss_G: 0.0968
===> Epoch[5](88/390): Loss_G: 0.0820
===> Epoch[5](89/390): Loss_G: 0.0767
===> Epoch[5](90/390): Loss_G: 0.0942
===> Epoch[5](91/390): Loss_G: 0.0917
===> Epoch[5](92/390): Loss_G: 0.0745
===> Epoch[5](93/390): Loss_G: 0.0962
===> Epoch[5](94/390): Loss_G: 0.0910
===> Epoch[5](95/390): Loss_G: 0.1011
===> Epoch[5](96/390): Loss_G: 0.0905
===> Epoch[5](97/390): Loss_G: 0.0980
===> Epoch[5](98/390): Loss_G: 0.0866
===> Epoch[5](99/390): Loss_G: 0.0897
===> Epoch[5](100/390): Loss_G: 0.0758
===> Epoch[5](101/390): Loss_G: 0.1021
===> Epoch[5](102/390): Loss_G: 0.0833
===> Epoch[5](103/390): Loss_G: 0.0928
===> Epoch[5](104/390): Loss_G: 0.0816
===> Epoch[5](105/390): Loss_G: 0.0970
===> Epoch[5](106/390): Loss_G: 0.0747
===> Epoch[5](107/390): Loss_G: 0.0760
===> Epoch[5](108/390): Loss_G: 0.0788
===> Epoch[5](109/390): Loss_G: 0.0622
===> Epoch[5](110/390): Loss_G: 0.0937
===> Epoch[5](111/390): Loss_G: 0.0961
===> Epoch[5](112/390): Loss_G: 0.0769
===> Epoch[5](113/390): Loss_G: 0.0830
===> Epoch[5](114/390): Loss_G: 0.1022
===> Epoch[5](115/390): Loss_G: 0.0771
===> Epoch[5](116/390): Loss_G: 0.0841
===> Epoch[5](117/390): Loss_G: 0.1090
===> Epoch[5](118/390): Loss_G: 0.0869
===> Epoch[5](119/390): Loss_G: 0.0887
===> Epoch[5](120/390): Loss_G: 0.1223
===> Epoch[5](121/390): Loss_G: 0.0906
===> Epoch[5](122/390): Loss_G: 0.0985
===> Epoch[5](123/390): Loss_G: 0.1024
===> Epoch[5](124/390): Loss_G: 0.0859
===> Epoch[5](125/390): Loss_G: 0.0886
===> Epoch[5](126/390): Loss_G: 0.0864
===> Epoch[5](127/390): Loss_G: 0.0989
===> Epoch[5](128/390): Loss_G: 0.0938
===> Epoch[5](129/390): Loss_G: 0.0973
===> Epoch[5](130/390): Loss_G: 0.0750
===> Epoch[5](131/390): Loss_G: 0.0898
===> Epoch[5](132/390): Loss_G: 0.0875
===> Epoch[5](133/390): Loss_G: 0.0736
===> Epoch[5](134/390): Loss_G: 0.1063
===> Epoch[5](135/390): Loss_G: 0.0841
===> Epoch[5](136/390): Loss_G: 0.0816
===> Epoch[5](137/390): Loss_G: 0.0941
===> Epoch[5](138/390): Loss_G: 0.0934
===> Epoch[5](139/390): Loss_G: 0.0779
===> Epoch[5](140/390): Loss_G: 0.0893
===> Epoch[5](141/390): Loss_G: 0.0932
===> Epoch[5](142/390): Loss_G: 0.1093
===> Epoch[5](143/390): Loss_G: 0.0763
===> Epoch[5](144/390): Loss_G: 0.1096
===> Epoch[5](145/390): Loss_G: 0.0835
===> Epoch[5](146/390): Loss_G: 0.1022
===> Epoch[5](147/390): Loss_G: 0.0894
===> Epoch[5](148/390): Loss_G: 0.0883
===> Epoch[5](149/390): Loss_G: 0.0750
===> Epoch[5](150/390): Loss_G: 0.0876
===> Epoch[5](151/390): Loss_G: 0.1155
===> Epoch[5](152/390): Loss_G: 0.0985
===> Epoch[5](153/390): Loss_G: 0.0853
===> Epoch[5](154/390): Loss_G: 0.0931
===> Epoch[5](155/390): Loss_G: 0.0837
===> Epoch[5](156/390): Loss_G: 0.0857
===> Epoch[5](157/390): Loss_G: 0.0796
===> Epoch[5](158/390): Loss_G: 0.1109
===> Epoch[5](159/390): Loss_G: 0.0654
===> Epoch[5](160/390): Loss_G: 0.0831
===> Epoch[5](161/390): Loss_G: 0.0880
===> Epoch[5](162/390): Loss_G: 0.0886
===> Epoch[5](163/390): Loss_G: 0.0835
===> Epoch[5](164/390): Loss_G: 0.1002
===> Epoch[5](165/390): Loss_G: 0.0776
===> Epoch[5](166/390): Loss_G: 0.1021
===> Epoch[5](167/390): Loss_G: 0.0830
===> Epoch[5](168/390): Loss_G: 0.0794
===> Epoch[5](169/390): Loss_G: 0.1211
===> Epoch[5](170/390): Loss_G: 0.1058
===> Epoch[5](171/390): Loss_G: 0.0888
===> Epoch[5](172/390): Loss_G: 0.0874
===> Epoch[5](173/390): Loss_G: 0.0746
===> Epoch[5](174/390): Loss_G: 0.1105
===> Epoch[5](175/390): Loss_G: 0.0978
===> Epoch[5](176/390): Loss_G: 0.1019
===> Epoch[5](177/390): Loss_G: 0.0928
===> Epoch[5](178/390): Loss_G: 0.0961
===> Epoch[5](179/390): Loss_G: 0.0924
===> Epoch[5](180/390): Loss_G: 0.1172
===> Epoch[5](181/390): Loss_G: 0.0906
===> Epoch[5](182/390): Loss_G: 0.0830
===> Epoch[5](183/390): Loss_G: 0.0847
===> Epoch[5](184/390): Loss_G: 0.0858
===> Epoch[5](185/390): Loss_G: 0.0794
===> Epoch[5](186/390): Loss_G: 0.0906
===> Epoch[5](187/390): Loss_G: 0.0768
===> Epoch[5](188/390): Loss_G: 0.1086
===> Epoch[5](189/390): Loss_G: 0.0855
===> Epoch[5](190/390): Loss_G: 0.0806
===> Epoch[5](191/390): Loss_G: 0.0996
===> Epoch[5](192/390): Loss_G: 0.0773
===> Epoch[5](193/390): Loss_G: 0.1205
===> Epoch[5](194/390): Loss_G: 0.0712
===> Epoch[5](195/390): Loss_G: 0.0890
===> Epoch[5](196/390): Loss_G: 0.0834
===> Epoch[5](197/390): Loss_G: 0.0827
===> Epoch[5](198/390): Loss_G: 0.1198
===> Epoch[5](199/390): Loss_G: 0.0955
===> Epoch[5](200/390): Loss_G: 0.0824
===> Epoch[5](201/390): Loss_G: 0.0809
===> Epoch[5](202/390): Loss_G: 0.0903
===> Epoch[5](203/390): Loss_G: 0.0805
===> Epoch[5](204/390): Loss_G: 0.0934
===> Epoch[5](205/390): Loss_G: 0.0909
===> Epoch[5](206/390): Loss_G: 0.0807
===> Epoch[5](207/390): Loss_G: 0.0958
===> Epoch[5](208/390): Loss_G: 0.1129
===> Epoch[5](209/390): Loss_G: 0.0967
===> Epoch[5](210/390): Loss_G: 0.1137
===> Epoch[5](211/390): Loss_G: 0.1047
===> Epoch[5](212/390): Loss_G: 0.0967
===> Epoch[5](213/390): Loss_G: 0.0912
===> Epoch[5](214/390): Loss_G: 0.0875
===> Epoch[5](215/390): Loss_G: 0.0732
===> Epoch[5](216/390): Loss_G: 0.1044
===> Epoch[5](217/390): Loss_G: 0.0806
===> Epoch[5](218/390): Loss_G: 0.0867
===> Epoch[5](219/390): Loss_G: 0.0944
===> Epoch[5](220/390): Loss_G: 0.0875
===> Epoch[5](221/390): Loss_G: 0.0864
===> Epoch[5](222/390): Loss_G: 0.0891
===> Epoch[5](223/390): Loss_G: 0.0771
===> Epoch[5](224/390): Loss_G: 0.0759
===> Epoch[5](225/390): Loss_G: 0.0829
===> Epoch[5](226/390): Loss_G: 0.0845
===> Epoch[5](227/390): Loss_G: 0.0903
===> Epoch[5](228/390): Loss_G: 0.1227
===> Epoch[5](229/390): Loss_G: 0.0745
===> Epoch[5](230/390): Loss_G: 0.0761
===> Epoch[5](231/390): Loss_G: 0.0888
===> Epoch[5](232/390): Loss_G: 0.0899
===> Epoch[5](233/390): Loss_G: 0.0910
===> Epoch[5](234/390): Loss_G: 0.0932
===> Epoch[5](235/390): Loss_G: 0.0960
===> Epoch[5](236/390): Loss_G: 0.0908
===> Epoch[5](237/390): Loss_G: 0.0976
===> Epoch[5](238/390): Loss_G: 0.0886
===> Epoch[5](239/390): Loss_G: 0.0946
===> Epoch[5](240/390): Loss_G: 0.1108
===> Epoch[5](241/390): Loss_G: 0.0848
===> Epoch[5](242/390): Loss_G: 0.0945
===> Epoch[5](243/390): Loss_G: 0.0890
===> Epoch[5](244/390): Loss_G: 0.0758
===> Epoch[5](245/390): Loss_G: 0.0920
===> Epoch[5](246/390): Loss_G: 0.0829
===> Epoch[5](247/390): Loss_G: 0.0866
===> Epoch[5](248/390): Loss_G: 0.0927
===> Epoch[5](249/390): Loss_G: 0.0713
===> Epoch[5](250/390): Loss_G: 0.0803
===> Epoch[5](251/390): Loss_G: 0.0732
===> Epoch[5](252/390): Loss_G: 0.0972
===> Epoch[5](253/390): Loss_G: 0.0818
===> Epoch[5](254/390): Loss_G: 0.1348
===> Epoch[5](255/390): Loss_G: 0.0794
===> Epoch[5](256/390): Loss_G: 0.0954
===> Epoch[5](257/390): Loss_G: 0.0879
===> Epoch[5](258/390): Loss_G: 0.0986
===> Epoch[5](259/390): Loss_G: 0.0841
===> Epoch[5](260/390): Loss_G: 0.0829
===> Epoch[5](261/390): Loss_G: 0.1251
===> Epoch[5](262/390): Loss_G: 0.1161
===> Epoch[5](263/390): Loss_G: 0.0829
===> Epoch[5](264/390): Loss_G: 0.0809
===> Epoch[5](265/390): Loss_G: 0.0788
===> Epoch[5](266/390): Loss_G: 0.0927
===> Epoch[5](267/390): Loss_G: 0.0827
===> Epoch[5](268/390): Loss_G: 0.0942
===> Epoch[5](269/390): Loss_G: 0.0866
===> Epoch[5](270/390): Loss_G: 0.0829
===> Epoch[5](271/390): Loss_G: 0.1028
===> Epoch[5](272/390): Loss_G: 0.1056
===> Epoch[5](273/390): Loss_G: 0.1216
===> Epoch[5](274/390): Loss_G: 0.0840
===> Epoch[5](275/390): Loss_G: 0.0672
===> Epoch[5](276/390): Loss_G: 0.0816
===> Epoch[5](277/390): Loss_G: 0.0856
===> Epoch[5](278/390): Loss_G: 0.0894
===> Epoch[5](279/390): Loss_G: 0.0993
===> Epoch[5](280/390): Loss_G: 0.1053
===> Epoch[5](281/390): Loss_G: 0.0842
===> Epoch[5](282/390): Loss_G: 0.1062
===> Epoch[5](283/390): Loss_G: 0.0743
===> Epoch[5](284/390): Loss_G: 0.0869
===> Epoch[5](285/390): Loss_G: 0.0781
===> Epoch[5](286/390): Loss_G: 0.0710
===> Epoch[5](287/390): Loss_G: 0.0773
===> Epoch[5](288/390): Loss_G: 0.0652
===> Epoch[5](289/390): Loss_G: 0.0966
===> Epoch[5](290/390): Loss_G: 0.0967
===> Epoch[5](291/390): Loss_G: 0.0979
===> Epoch[5](292/390): Loss_G: 0.0808
===> Epoch[5](293/390): Loss_G: 0.1165
===> Epoch[5](294/390): Loss_G: 0.0789
===> Epoch[5](295/390): Loss_G: 0.0728
===> Epoch[5](296/390): Loss_G: 0.0933
===> Epoch[5](297/390): Loss_G: 0.0886
===> Epoch[5](298/390): Loss_G: 0.0976
===> Epoch[5](299/390): Loss_G: 0.0747
===> Epoch[5](300/390): Loss_G: 0.0964
===> Epoch[5](301/390): Loss_G: 0.0623
===> Epoch[5](302/390): Loss_G: 0.0877
===> Epoch[5](303/390): Loss_G: 0.0861
===> Epoch[5](304/390): Loss_G: 0.0987
===> Epoch[5](305/390): Loss_G: 0.0924
===> Epoch[5](306/390): Loss_G: 0.0782
===> Epoch[5](307/390): Loss_G: 0.1126
===> Epoch[5](308/390): Loss_G: 0.0864
===> Epoch[5](309/390): Loss_G: 0.1059
===> Epoch[5](310/390): Loss_G: 0.0860
===> Epoch[5](311/390): Loss_G: 0.0913
===> Epoch[5](312/390): Loss_G: 0.0922
===> Epoch[5](313/390): Loss_G: 0.0855
===> Epoch[5](314/390): Loss_G: 0.1034
===> Epoch[5](315/390): Loss_G: 0.1023
===> Epoch[5](316/390): Loss_G: 0.0795
===> Epoch[5](317/390): Loss_G: 0.0816
===> Epoch[5](318/390): Loss_G: 0.0973
===> Epoch[5](319/390): Loss_G: 0.0703
===> Epoch[5](320/390): Loss_G: 0.0946
===> Epoch[5](321/390): Loss_G: 0.0835
===> Epoch[5](322/390): Loss_G: 0.0846
===> Epoch[5](323/390): Loss_G: 0.1080
===> Epoch[5](324/390): Loss_G: 0.0854
===> Epoch[5](325/390): Loss_G: 0.0912
===> Epoch[5](326/390): Loss_G: 0.0900
===> Epoch[5](327/390): Loss_G: 0.0817
===> Epoch[5](328/390): Loss_G: 0.0845
===> Epoch[5](329/390): Loss_G: 0.0911
===> Epoch[5](330/390): Loss_G: 0.1085
===> Epoch[5](331/390): Loss_G: 0.0740
===> Epoch[5](332/390): Loss_G: 0.0973
===> Epoch[5](333/390): Loss_G: 0.1016
===> Epoch[5](334/390): Loss_G: 0.0885
===> Epoch[5](335/390): Loss_G: 0.0958
===> Epoch[5](336/390): Loss_G: 0.0959
===> Epoch[5](337/390): Loss_G: 0.0795
===> Epoch[5](338/390): Loss_G: 0.0998
===> Epoch[5](339/390): Loss_G: 0.0847
===> Epoch[5](340/390): Loss_G: 0.1037
===> Epoch[5](341/390): Loss_G: 0.0982
===> Epoch[5](342/390): Loss_G: 0.0779
===> Epoch[5](343/390): Loss_G: 0.0917
===> Epoch[5](344/390): Loss_G: 0.0787
===> Epoch[5](345/390): Loss_G: 0.1549
===> Epoch[5](346/390): Loss_G: 0.0866
===> Epoch[5](347/390): Loss_G: 0.1004
===> Epoch[5](348/390): Loss_G: 0.0820
===> Epoch[5](349/390): Loss_G: 0.0869
===> Epoch[5](350/390): Loss_G: 0.0881
===> Epoch[5](351/390): Loss_G: 0.1026
===> Epoch[5](352/390): Loss_G: 0.0912
===> Epoch[5](353/390): Loss_G: 0.0899
===> Epoch[5](354/390): Loss_G: 0.0866
===> Epoch[5](355/390): Loss_G: 0.0759
===> Epoch[5](356/390): Loss_G: 0.0918
===> Epoch[5](357/390): Loss_G: 0.1140
===> Epoch[5](358/390): Loss_G: 0.0878
===> Epoch[5](359/390): Loss_G: 0.0668
===> Epoch[5](360/390): Loss_G: 0.0769
===> Epoch[5](361/390): Loss_G: 0.1006
===> Epoch[5](362/390): Loss_G: 0.1018
===> Epoch[5](363/390): Loss_G: 0.0726
===> Epoch[5](364/390): Loss_G: 0.0869
===> Epoch[5](365/390): Loss_G: 0.1134
===> Epoch[5](366/390): Loss_G: 0.0775
===> Epoch[5](367/390): Loss_G: 0.0686
===> Epoch[5](368/390): Loss_G: 0.0888
===> Epoch[5](369/390): Loss_G: 0.1130
===> Epoch[5](370/390): Loss_G: 0.0966
===> Epoch[5](371/390): Loss_G: 0.0811
===> Epoch[5](372/390): Loss_G: 0.0846
===> Epoch[5](373/390): Loss_G: 0.0924
===> Epoch[5](374/390): Loss_G: 0.0786
===> Epoch[5](375/390): Loss_G: 0.0737
===> Epoch[5](376/390): Loss_G: 0.0841
===> Epoch[5](377/390): Loss_G: 0.0849
===> Epoch[5](378/390): Loss_G: 0.0937
===> Epoch[5](379/390): Loss_G: 0.0842
===> Epoch[5](380/390): Loss_G: 0.0893
===> Epoch[5](381/390): Loss_G: 0.0800
===> Epoch[5](382/390): Loss_G: 0.0614
===> Epoch[5](383/390): Loss_G: 0.0791
===> Epoch[5](384/390): Loss_G: 0.0830
===> Epoch[5](385/390): Loss_G: 0.0901
===> Epoch[5](386/390): Loss_G: 0.0738
===> Epoch[5](387/390): Loss_G: 0.0930
===> Epoch[5](388/390): Loss_G: 0.0886
===> Epoch[5](389/390): Loss_G: 0.0983
===> Epoch[5](390/390): Loss_G: 0.0939
learning rate = 0.0002000
Checkpoint saved to checkpointcifar10
===> Epoch[6](1/390): Loss_G: 0.0793
===> Epoch[6](2/390): Loss_G: 0.1127
===> Epoch[6](3/390): Loss_G: 0.0862
===> Epoch[6](4/390): Loss_G: 0.1013
===> Epoch[6](5/390): Loss_G: 0.0884
===> Epoch[6](6/390): Loss_G: 0.0979
===> Epoch[6](7/390): Loss_G: 0.0907
===> Epoch[6](8/390): Loss_G: 0.0987
===> Epoch[6](9/390): Loss_G: 0.0843
===> Epoch[6](10/390): Loss_G: 0.0899
===> Epoch[6](11/390): Loss_G: 0.1175
===> Epoch[6](12/390): Loss_G: 0.0744
===> Epoch[6](13/390): Loss_G: 0.0977
===> Epoch[6](14/390): Loss_G: 0.0799
===> Epoch[6](15/390): Loss_G: 0.0786
===> Epoch[6](16/390): Loss_G: 0.0685
===> Epoch[6](17/390): Loss_G: 0.0930
===> Epoch[6](18/390): Loss_G: 0.0855
===> Epoch[6](19/390): Loss_G: 0.0975
===> Epoch[6](20/390): Loss_G: 0.1011
===> Epoch[6](21/390): Loss_G: 0.0835
===> Epoch[6](22/390): Loss_G: 0.0756
===> Epoch[6](23/390): Loss_G: 0.1011
===> Epoch[6](24/390): Loss_G: 0.0955
===> Epoch[6](25/390): Loss_G: 0.1179
===> Epoch[6](26/390): Loss_G: 0.0965
===> Epoch[6](27/390): Loss_G: 0.0942
===> Epoch[6](28/390): Loss_G: 0.0893
===> Epoch[6](29/390): Loss_G: 0.0998
===> Epoch[6](30/390): Loss_G: 0.0916
===> Epoch[6](31/390): Loss_G: 0.1015
===> Epoch[6](32/390): Loss_G: 0.1047
===> Epoch[6](33/390): Loss_G: 0.0722
===> Epoch[6](34/390): Loss_G: 0.0954
===> Epoch[6](35/390): Loss_G: 0.0794
===> Epoch[6](36/390): Loss_G: 0.0888
===> Epoch[6](37/390): Loss_G: 0.0976
===> Epoch[6](38/390): Loss_G: 0.0839
===> Epoch[6](39/390): Loss_G: 0.1039
===> Epoch[6](40/390): Loss_G: 0.1263
===> Epoch[6](41/390): Loss_G: 0.1200
===> Epoch[6](42/390): Loss_G: 0.1057
===> Epoch[6](43/390): Loss_G: 0.1023
===> Epoch[6](44/390): Loss_G: 0.0918
===> Epoch[6](45/390): Loss_G: 0.0780
===> Epoch[6](46/390): Loss_G: 0.0863
===> Epoch[6](47/390): Loss_G: 0.0920
===> Epoch[6](48/390): Loss_G: 0.0886
===> Epoch[6](49/390): Loss_G: 0.0858
===> Epoch[6](50/390): Loss_G: 0.0949
===> Epoch[6](51/390): Loss_G: 0.1000
===> Epoch[6](52/390): Loss_G: 0.0690
===> Epoch[6](53/390): Loss_G: 0.0887
===> Epoch[6](54/390): Loss_G: 0.0774
===> Epoch[6](55/390): Loss_G: 0.0870
===> Epoch[6](56/390): Loss_G: 0.1187
===> Epoch[6](57/390): Loss_G: 0.0808
===> Epoch[6](58/390): Loss_G: 0.0799
===> Epoch[6](59/390): Loss_G: 0.0936
===> Epoch[6](60/390): Loss_G: 0.1093
===> Epoch[6](61/390): Loss_G: 0.0882
===> Epoch[6](62/390): Loss_G: 0.0802
===> Epoch[6](63/390): Loss_G: 0.0990
===> Epoch[6](64/390): Loss_G: 0.0713
===> Epoch[6](65/390): Loss_G: 0.0925
===> Epoch[6](66/390): Loss_G: 0.0898
===> Epoch[6](67/390): Loss_G: 0.0758
===> Epoch[6](68/390): Loss_G: 0.1039
===> Epoch[6](69/390): Loss_G: 0.0944
===> Epoch[6](70/390): Loss_G: 0.1007
===> Epoch[6](71/390): Loss_G: 0.0880
===> Epoch[6](72/390): Loss_G: 0.0982
===> Epoch[6](73/390): Loss_G: 0.0842
===> Epoch[6](74/390): Loss_G: 0.0740
===> Epoch[6](75/390): Loss_G: 0.0909
===> Epoch[6](76/390): Loss_G: 0.0906
===> Epoch[6](77/390): Loss_G: 0.0840
===> Epoch[6](78/390): Loss_G: 0.0843
===> Epoch[6](79/390): Loss_G: 0.0758
===> Epoch[6](80/390): Loss_G: 0.0716
===> Epoch[6](81/390): Loss_G: 0.1171
===> Epoch[6](82/390): Loss_G: 0.0980
===> Epoch[6](83/390): Loss_G: 0.1003
===> Epoch[6](84/390): Loss_G: 0.0737
===> Epoch[6](85/390): Loss_G: 0.1015
===> Epoch[6](86/390): Loss_G: 0.1113
===> Epoch[6](87/390): Loss_G: 0.0929
===> Epoch[6](88/390): Loss_G: 0.1067
===> Epoch[6](89/390): Loss_G: 0.0878
===> Epoch[6](90/390): Loss_G: 0.0678
===> Epoch[6](91/390): Loss_G: 0.1114
===> Epoch[6](92/390): Loss_G: 0.0777
===> Epoch[6](93/390): Loss_G: 0.0661
===> Epoch[6](94/390): Loss_G: 0.0700
===> Epoch[6](95/390): Loss_G: 0.0961
===> Epoch[6](96/390): Loss_G: 0.0962
===> Epoch[6](97/390): Loss_G: 0.0835
===> Epoch[6](98/390): Loss_G: 0.0904
===> Epoch[6](99/390): Loss_G: 0.1049
===> Epoch[6](100/390): Loss_G: 0.0733
===> Epoch[6](101/390): Loss_G: 0.0842
===> Epoch[6](102/390): Loss_G: 0.0798
===> Epoch[6](103/390): Loss_G: 0.1059
===> Epoch[6](104/390): Loss_G: 0.0784
===> Epoch[6](105/390): Loss_G: 0.1062
===> Epoch[6](106/390): Loss_G: 0.0800
===> Epoch[6](107/390): Loss_G: 0.0937
===> Epoch[6](108/390): Loss_G: 0.1045
===> Epoch[6](109/390): Loss_G: 0.0932
===> Epoch[6](110/390): Loss_G: 0.0753
===> Epoch[6](111/390): Loss_G: 0.0974
===> Epoch[6](112/390): Loss_G: 0.1035
===> Epoch[6](113/390): Loss_G: 0.0856
===> Epoch[6](114/390): Loss_G: 0.0933
===> Epoch[6](115/390): Loss_G: 0.0842
===> Epoch[6](116/390): Loss_G: 0.0868
===> Epoch[6](117/390): Loss_G: 0.0901
===> Epoch[6](118/390): Loss_G: 0.0759
===> Epoch[6](119/390): Loss_G: 0.0821
===> Epoch[6](120/390): Loss_G: 0.0906
===> Epoch[6](121/390): Loss_G: 0.1174
===> Epoch[6](122/390): Loss_G: 0.0823
===> Epoch[6](123/390): Loss_G: 0.1131
===> Epoch[6](124/390): Loss_G: 0.0690
===> Epoch[6](125/390): Loss_G: 0.0932
===> Epoch[6](126/390): Loss_G: 0.0917
===> Epoch[6](127/390): Loss_G: 0.0903
===> Epoch[6](128/390): Loss_G: 0.0835
===> Epoch[6](129/390): Loss_G: 0.0886
===> Epoch[6](130/390): Loss_G: 0.1092
===> Epoch[6](131/390): Loss_G: 0.0797
===> Epoch[6](132/390): Loss_G: 0.0978
===> Epoch[6](133/390): Loss_G: 0.0758
===> Epoch[6](134/390): Loss_G: 0.0855
