Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
===> Epoch[1](121/390): Loss_G: 0.0953
===> Epoch[1](122/390): Loss_G: 0.1067
===> Epoch[1](123/390): Loss_G: 0.1093
===> Epoch[1](124/390): Loss_G: 0.0957
===> Epoch[1](125/390): Loss_G: 0.0948
===> Epoch[1](126/390): Loss_G: 0.0997
===> Epoch[1](127/390): Loss_G: 0.1071
===> Epoch[1](128/390): Loss_G: 0.0960
===> Epoch[1](129/390): Loss_G: 0.1146
===> Epoch[1](130/390): Loss_G: 0.1159
===> Epoch[1](131/390): Loss_G: 0.0917
===> Epoch[1](132/390): Loss_G: 0.1035
===> Epoch[1](133/390): Loss_G: 0.0922
===> Epoch[1](134/390): Loss_G: 0.1207
===> Epoch[1](135/390): Loss_G: 0.1006
===> Epoch[1](136/390): Loss_G: 0.1072
===> Epoch[1](137/390): Loss_G: 0.0819
===> Epoch[1](138/390): Loss_G: 0.1010
===> Epoch[1](139/390): Loss_G: 0.0859
===> Epoch[1](140/390): Loss_G: 0.0815
===> Epoch[1](141/390): Loss_G: 0.0867
===> Epoch[1](142/390): Loss_G: 0.0952
===> Epoch[1](143/390): Loss_G: 0.0847
===> Epoch[1](144/390): Loss_G: 0.0977
===> Epoch[1](145/390): Loss_G: 0.0971
===> Epoch[1](146/390): Loss_G: 0.1287
===> Epoch[1](147/390): Loss_G: 0.1115
===> Epoch[1](148/390): Loss_G: 0.1041
===> Epoch[1](149/390): Loss_G: 0.0933
===> Epoch[1](150/390): Loss_G: 0.0928
===> Epoch[1](151/390): Loss_G: 0.0808
===> Epoch[1](152/390): Loss_G: 0.0808
===> Epoch[1](153/390): Loss_G: 0.0969
===> Epoch[1](154/390): Loss_G: 0.0915
===> Epoch[1](155/390): Loss_G: 0.0964
===> Epoch[1](156/390): Loss_G: 0.0982
===> Epoch[1](157/390): Loss_G: 0.0971
===> Epoch[1](158/390): Loss_G: 0.1135
===> Epoch[1](159/390): Loss_G: 0.1045
===> Epoch[1](160/390): Loss_G: 0.1194
===> Epoch[1](161/390): Loss_G: 0.0905
===> Epoch[1](162/390): Loss_G: 0.1275
===> Epoch[1](163/390): Loss_G: 0.1068
===> Epoch[1](164/390): Loss_G: 0.0928
===> Epoch[1](165/390): Loss_G: 0.0787
===> Epoch[1](166/390): Loss_G: 0.0789
===> Epoch[1](167/390): Loss_G: 0.1193
===> Epoch[1](168/390): Loss_G: 0.1088
===> Epoch[1](169/390): Loss_G: 0.1200
===> Epoch[1](170/390): Loss_G: 0.0940
===> Epoch[1](171/390): Loss_G: 0.1039
===> Epoch[1](172/390): Loss_G: 0.0991
===> Epoch[1](173/390): Loss_G: 0.0958
===> Epoch[1](174/390): Loss_G: 0.0851
===> Epoch[1](175/390): Loss_G: 0.1113
===> Epoch[1](176/390): Loss_G: 0.0877
===> Epoch[1](177/390): Loss_G: 0.1155
===> Epoch[1](178/390): Loss_G: 0.0947
===> Epoch[1](179/390): Loss_G: 0.0964
===> Epoch[1](180/390): Loss_G: 0.1095
