{'target': {'mean': array([0.6559602], dtype=float32), 'std': array([2.6216261], dtype=float32), 'min': array([-11.30689], dtype=float32), 'max': array([22.927853], dtype=float32)}, 'input': {'mean': array([-0.3984012], dtype=float32), 'std': array([0.27414447], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
../results/fusion/checkpoints/mnist_vanilla_4.pth
===> Epoch[5](360/704): MSE-pixel: 0.0413
===> Epoch[5](390/704): MSE-pixel: 0.0447
===> Epoch[5](420/704): MSE-pixel: 0.0409
===> Epoch[5](450/704): MSE-pixel: 0.0433
===> Epoch[5](480/704): MSE-pixel: 0.0390
===> Epoch[5](510/704): MSE-pixel: 0.0423
===> Epoch[5](540/704): MSE-pixel: 0.0413
===> Epoch[5](570/704): MSE-pixel: 0.0398
===> Epoch[5](600/704): MSE-pixel: 0.0390
===> Epoch[5](630/704): MSE-pixel: 0.0410
===> Epoch[5](660/704): MSE-pixel: 0.0448
===> Epoch[5](690/704): MSE-pixel: 0.0396
learning rate = 0.0010000
===> Epoch[6](0/704): MSE-pixel: 0.0419
===> Epoch[6](30/704): MSE-pixel: 0.0397
===> Epoch[6](60/704): MSE-pixel: 0.0398
===> Epoch[6](90/704): MSE-pixel: 0.0386
===> Epoch[6](120/704): MSE-pixel: 0.0401
===> Epoch[6](150/704): MSE-pixel: 0.0421
===> Epoch[6](180/704): MSE-pixel: 0.0432
===> Epoch[6](210/704): MSE-pixel: 0.0391
===> Epoch[6](240/704): MSE-pixel: 0.0426
===> Epoch[6](270/704): MSE-pixel: 0.0399
===> Epoch[6](300/704): MSE-pixel: 0.0408
===> Epoch[6](330/704): MSE-pixel: 0.0403
===> Epoch[6](360/704): MSE-pixel: 0.0434
===> Epoch[6](390/704): MSE-pixel: 0.0406
===> Epoch[6](420/704): MSE-pixel: 0.0405
===> Epoch[6](450/704): MSE-pixel: 0.0395
===> Epoch[6](480/704): MSE-pixel: 0.0415
===> Epoch[6](510/704): MSE-pixel: 0.0403
===> Epoch[6](540/704): MSE-pixel: 0.0417
===> Epoch[6](570/704): MSE-pixel: 0.0401
===> Epoch[6](600/704): MSE-pixel: 0.0388
===> Epoch[6](630/704): MSE-pixel: 0.0424
===> Epoch[6](660/704): MSE-pixel: 0.0400
===> Epoch[6](690/704): MSE-pixel: 0.0433
learning rate = 0.0010000
===> Epoch[7](0/704): MSE-pixel: 0.0399
===> Epoch[7](30/704): MSE-pixel: 0.0393
===> Epoch[7](60/704): MSE-pixel: 0.0423
===> Epoch[7](90/704): MSE-pixel: 0.0395
===> Epoch[7](120/704): MSE-pixel: 0.0400
===> Epoch[7](150/704): MSE-pixel: 0.0387
===> Epoch[7](180/704): MSE-pixel: 0.0407
===> Epoch[7](210/704): MSE-pixel: 0.0403
===> Epoch[7](240/704): MSE-pixel: 0.0399
===> Epoch[7](270/704): MSE-pixel: 0.0404
===> Epoch[7](300/704): MSE-pixel: 0.0411
===> Epoch[7](330/704): MSE-pixel: 0.0389
===> Epoch[7](360/704): MSE-pixel: 0.0423
===> Epoch[7](390/704): MSE-pixel: 0.0405
===> Epoch[7](420/704): MSE-pixel: 0.0398
===> Epoch[7](450/704): MSE-pixel: 0.0419
===> Epoch[7](480/704): MSE-pixel: 0.0411
===> Epoch[7](510/704): MSE-pixel: 0.0415
===> Epoch[7](540/704): MSE-pixel: 0.0414
===> Epoch[7](570/704): MSE-pixel: 0.0423
===> Epoch[7](600/704): MSE-pixel: 0.0388
===> Epoch[7](630/704): MSE-pixel: 0.0419
===> Epoch[7](660/704): MSE-pixel: 0.0378
===> Epoch[7](690/704): MSE-pixel: 0.0404
learning rate = 0.0010000
===> Epoch[8](0/704): MSE-pixel: 0.0421
===> Epoch[8](30/704): MSE-pixel: 0.0404
===> Epoch[8](60/704): MSE-pixel: 0.0372
===> Epoch[8](90/704): MSE-pixel: 0.0389
===> Epoch[8](120/704): MSE-pixel: 0.0417
===> Epoch[8](150/704): MSE-pixel: 0.0376
===> Epoch[8](180/704): MSE-pixel: 0.0390
===> Epoch[8](210/704): MSE-pixel: 0.0413
===> Epoch[8](240/704): MSE-pixel: 0.0397
===> Epoch[8](270/704): MSE-pixel: 0.0366
===> Epoch[8](300/704): MSE-pixel: 0.0384
===> Epoch[8](330/704): MSE-pixel: 0.0404
===> Epoch[8](360/704): MSE-pixel: 0.0379
===> Epoch[8](390/704): MSE-pixel: 0.0402
===> Epoch[8](420/704): MSE-pixel: 0.0404
===> Epoch[8](450/704): MSE-pixel: 0.0377
===> Epoch[8](480/704): MSE-pixel: 0.0407
===> Epoch[8](510/704): MSE-pixel: 0.0401
===> Epoch[8](540/704): MSE-pixel: 0.0399
===> Epoch[8](570/704): MSE-pixel: 0.0400
===> Epoch[8](600/704): MSE-pixel: 0.0416
===> Epoch[8](630/704): MSE-pixel: 0.0410
===> Epoch[8](660/704): MSE-pixel: 0.0411
===> Epoch[8](690/704): MSE-pixel: 0.0398
learning rate = 0.0010000
===> Epoch[9](0/704): MSE-pixel: 0.0381
===> Epoch[9](30/704): MSE-pixel: 0.0377
===> Epoch[9](60/704): MSE-pixel: 0.0392
===> Epoch[9](90/704): MSE-pixel: 0.0378
===> Epoch[9](120/704): MSE-pixel: 0.0372
===> Epoch[9](150/704): MSE-pixel: 0.0409
===> Epoch[9](180/704): MSE-pixel: 0.0375
===> Epoch[9](210/704): MSE-pixel: 0.0401
===> Epoch[9](240/704): MSE-pixel: 0.0374
===> Epoch[9](270/704): MSE-pixel: 0.0383
===> Epoch[9](300/704): MSE-pixel: 0.0401
===> Epoch[9](330/704): MSE-pixel: 0.0401
===> Epoch[9](360/704): MSE-pixel: 0.0379
===> Epoch[9](390/704): MSE-pixel: 0.0357
===> Epoch[9](420/704): MSE-pixel: 0.0405
===> Epoch[9](450/704): MSE-pixel: 0.0393
===> Epoch[9](480/704): MSE-pixel: 0.0399
===> Epoch[9](510/704): MSE-pixel: 0.0386
===> Epoch[9](540/704): MSE-pixel: 0.0397
===> Epoch[9](570/704): MSE-pixel: 0.0388
===> Epoch[9](600/704): MSE-pixel: 0.0433
===> Epoch[9](630/704): MSE-pixel: 0.0363
===> Epoch[9](660/704): MSE-pixel: 0.0369
===> Epoch[9](690/704): MSE-pixel: 0.0418
learning rate = 0.0010000
===> Epoch[10](0/704): MSE-pixel: 0.0386
===> Epoch[10](30/704): MSE-pixel: 0.0372
===> Epoch[10](60/704): MSE-pixel: 0.0377
===> Epoch[10](90/704): MSE-pixel: 0.0363
===> Epoch[10](120/704): MSE-pixel: 0.0372
===> Epoch[10](150/704): MSE-pixel: 0.0408
===> Epoch[10](180/704): MSE-pixel: 0.0393
===> Epoch[10](210/704): MSE-pixel: 0.0379
===> Epoch[10](240/704): MSE-pixel: 0.0367
===> Epoch[10](270/704): MSE-pixel: 0.0386
