{'target': {'mean': array([-0.5029429], dtype=float32), 'std': array([0.6241994], dtype=float32), 'min': array([-5.971551], dtype=float32), 'max': array([4.968335], dtype=float32)}, 'input': {'mean': array([-0.39840025], dtype=float32), 'std': array([0.2741448], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[53](420/704): MSE-pixel: 0.2904
===> Epoch[53](450/704): MSE-pixel: 0.2863
===> Epoch[53](480/704): MSE-pixel: 0.2972
===> Epoch[53](510/704): MSE-pixel: 0.3014
===> Epoch[53](540/704): MSE-pixel: 0.3033
===> Epoch[53](570/704): MSE-pixel: 0.2782
===> Epoch[53](600/704): MSE-pixel: 0.2973
===> Epoch[53](630/704): MSE-pixel: 0.3155
===> Epoch[53](660/704): MSE-pixel: 0.2882
===> Epoch[53](690/704): MSE-pixel: 0.2860
learning rate = 0.0010000
===> Epoch[54](0/704): MSE-pixel: 0.2828
===> Epoch[54](30/704): MSE-pixel: 0.2875
===> Epoch[54](60/704): MSE-pixel: 0.3065
===> Epoch[54](90/704): MSE-pixel: 0.2866
===> Epoch[54](120/704): MSE-pixel: 0.3041
===> Epoch[54](150/704): MSE-pixel: 0.2960
===> Epoch[54](180/704): MSE-pixel: 0.2948
===> Epoch[54](210/704): MSE-pixel: 0.3029
===> Epoch[54](240/704): MSE-pixel: 0.2961
===> Epoch[54](270/704): MSE-pixel: 0.2765
===> Epoch[54](300/704): MSE-pixel: 0.2834
===> Epoch[54](330/704): MSE-pixel: 0.3056
===> Epoch[54](360/704): MSE-pixel: 0.2977
===> Epoch[54](390/704): MSE-pixel: 0.2985
===> Epoch[54](420/704): MSE-pixel: 0.3024
===> Epoch[54](450/704): MSE-pixel: 0.2757
===> Epoch[54](480/704): MSE-pixel: 0.2789
===> Epoch[54](510/704): MSE-pixel: 0.2899
===> Epoch[54](540/704): MSE-pixel: 0.2795
===> Epoch[54](570/704): MSE-pixel: 0.2971
===> Epoch[54](600/704): MSE-pixel: 0.3046
===> Epoch[54](630/704): MSE-pixel: 0.2830
===> Epoch[54](660/704): MSE-pixel: 0.2992
===> Epoch[54](690/704): MSE-pixel: 0.2937
learning rate = 0.0010000
===> Epoch[55](0/704): MSE-pixel: 0.2713
===> Epoch[55](30/704): MSE-pixel: 0.2760
===> Epoch[55](60/704): MSE-pixel: 0.2958
===> Epoch[55](90/704): MSE-pixel: 0.2827
===> Epoch[55](120/704): MSE-pixel: 0.2932
===> Epoch[55](150/704): MSE-pixel: 0.2908
===> Epoch[55](180/704): MSE-pixel: 0.2939
===> Epoch[55](210/704): MSE-pixel: 0.2907
===> Epoch[55](240/704): MSE-pixel: 0.2811
===> Epoch[55](270/704): MSE-pixel: 0.2788
===> Epoch[55](300/704): MSE-pixel: 0.2834
===> Epoch[55](330/704): MSE-pixel: 0.3020
===> Epoch[55](360/704): MSE-pixel: 0.2936
===> Epoch[55](390/704): MSE-pixel: 0.3058
===> Epoch[55](420/704): MSE-pixel: 0.3108
===> Epoch[55](450/704): MSE-pixel: 0.2929
===> Epoch[55](480/704): MSE-pixel: 0.2927
===> Epoch[55](510/704): MSE-pixel: 0.2839
===> Epoch[55](540/704): MSE-pixel: 0.2852
===> Epoch[55](570/704): MSE-pixel: 0.2831
===> Epoch[55](600/704): MSE-pixel: 0.2961
===> Epoch[55](630/704): MSE-pixel: 0.2883
===> Epoch[55](660/704): MSE-pixel: 0.2889
===> Epoch[55](690/704): MSE-pixel: 0.2846
learning rate = 0.0010000
===> Epoch[56](0/704): MSE-pixel: 0.2971
===> Epoch[56](30/704): MSE-pixel: 0.2947
===> Epoch[56](60/704): MSE-pixel: 0.2967
===> Epoch[56](90/704): MSE-pixel: 0.2978
===> Epoch[56](120/704): MSE-pixel: 0.3031
===> Epoch[56](150/704): MSE-pixel: 0.2817
===> Epoch[56](180/704): MSE-pixel: 0.2884
===> Epoch[56](210/704): MSE-pixel: 0.2818
===> Epoch[56](240/704): MSE-pixel: 0.3005
===> Epoch[56](270/704): MSE-pixel: 0.2889
===> Epoch[56](300/704): MSE-pixel: 0.3184
===> Epoch[56](330/704): MSE-pixel: 0.2908
===> Epoch[56](360/704): MSE-pixel: 0.3060
===> Epoch[56](390/704): MSE-pixel: 0.2998
===> Epoch[56](420/704): MSE-pixel: 0.2825
===> Epoch[56](450/704): MSE-pixel: 0.3036
===> Epoch[56](480/704): MSE-pixel: 0.2889
===> Epoch[56](510/704): MSE-pixel: 0.2948
===> Epoch[56](540/704): MSE-pixel: 0.2918
===> Epoch[56](570/704): MSE-pixel: 0.3041
===> Epoch[56](600/704): MSE-pixel: 0.2809
===> Epoch[56](630/704): MSE-pixel: 0.2899
===> Epoch[56](660/704): MSE-pixel: 0.2766
===> Epoch[56](690/704): MSE-pixel: 0.2918
learning rate = 0.0010000
===> Epoch[57](0/704): MSE-pixel: 0.2847
===> Epoch[57](30/704): MSE-pixel: 0.2960
===> Epoch[57](60/704): MSE-pixel: 0.3119
===> Epoch[57](90/704): MSE-pixel: 0.2918
===> Epoch[57](120/704): MSE-pixel: 0.2907
===> Epoch[57](150/704): MSE-pixel: 0.2874
===> Epoch[57](180/704): MSE-pixel: 0.2821
===> Epoch[57](210/704): MSE-pixel: 0.2875
===> Epoch[57](240/704): MSE-pixel: 0.2916
===> Epoch[57](270/704): MSE-pixel: 0.2903
===> Epoch[57](300/704): MSE-pixel: 0.2697
===> Epoch[57](330/704): MSE-pixel: 0.2929
===> Epoch[57](360/704): MSE-pixel: 0.2919
===> Epoch[57](390/704): MSE-pixel: 0.2983
===> Epoch[57](420/704): MSE-pixel: 0.2959
===> Epoch[57](450/704): MSE-pixel: 0.3014
===> Epoch[57](480/704): MSE-pixel: 0.2780
===> Epoch[57](510/704): MSE-pixel: 0.2809
===> Epoch[57](540/704): MSE-pixel: 0.2841
===> Epoch[57](570/704): MSE-pixel: 0.2845
===> Epoch[57](600/704): MSE-pixel: 0.2844
===> Epoch[57](630/704): MSE-pixel: 0.2816
===> Epoch[57](660/704): MSE-pixel: 0.2990
===> Epoch[57](690/704): MSE-pixel: 0.2814
learning rate = 0.0010000
===> Epoch[58](0/704): MSE-pixel: 0.2685
===> Epoch[58](30/704): MSE-pixel: 0.2930
===> Epoch[58](60/704): MSE-pixel: 0.2947
===> Epoch[58](90/704): MSE-pixel: 0.2930
===> Epoch[58](120/704): MSE-pixel: 0.2899
===> Epoch[58](150/704): MSE-pixel: 0.2819
===> Epoch[58](180/704): MSE-pixel: 0.2931
===> Epoch[58](210/704): MSE-pixel: 0.2867
===> Epoch[58](240/704): MSE-pixel: 0.3006
===> Epoch[58](270/704): MSE-pixel: 0.2996
===> Epoch[58](300/704): MSE-pixel: 0.2942
===> Epoch[58](330/704): MSE-pixel: 0.2977
===> Epoch[58](360/704): MSE-pixel: 0.3088
===> Epoch[58](390/704): MSE-pixel: 0.2957
===> Epoch[58](420/704): MSE-pixel: 0.2830
===> Epoch[58](450/704): MSE-pixel: 0.3047
===> Epoch[58](480/704): MSE-pixel: 0.2820
===> Epoch[58](510/704): MSE-pixel: 0.2995
===> Epoch[58](540/704): MSE-pixel: 0.2715
===> Epoch[58](570/704): MSE-pixel: 0.2860
===> Epoch[58](600/704): MSE-pixel: 0.2967
===> Epoch[58](630/704): MSE-pixel: 0.3113
===> Epoch[58](660/704): MSE-pixel: 0.2930
===> Epoch[58](690/704): MSE-pixel: 0.3035
learning rate = 0.0010000
===> Epoch[59](0/704): MSE-pixel: 0.2814
===> Epoch[59](30/704): MSE-pixel: 0.3054
===> Epoch[59](60/704): MSE-pixel: 0.2930
===> Epoch[59](90/704): MSE-pixel: 0.2909
===> Epoch[59](120/704): MSE-pixel: 0.2872
===> Epoch[59](150/704): MSE-pixel: 0.2962
===> Epoch[59](180/704): MSE-pixel: 0.2957
===> Epoch[59](210/704): MSE-pixel: 0.3001
===> Epoch[59](240/704): MSE-pixel: 0.2862
===> Epoch[59](270/704): MSE-pixel: 0.2698
===> Epoch[59](300/704): MSE-pixel: 0.2860
===> Epoch[59](330/704): MSE-pixel: 0.2949
===> Epoch[59](360/704): MSE-pixel: 0.3012
===> Epoch[59](390/704): MSE-pixel: 0.2804
===> Epoch[59](420/704): MSE-pixel: 0.2974
===> Epoch[59](450/704): MSE-pixel: 0.3140
===> Epoch[59](480/704): MSE-pixel: 0.2997
===> Epoch[59](510/704): MSE-pixel: 0.2975
===> Epoch[59](540/704): MSE-pixel: 0.2973
===> Epoch[59](570/704): MSE-pixel: 0.3048
===> Epoch[59](600/704): MSE-pixel: 0.2825
===> Epoch[59](630/704): MSE-pixel: 0.2849
===> Epoch[59](660/704): MSE-pixel: 0.2904
===> Epoch[59](690/704): MSE-pixel: 0.2877
learning rate = 0.0010000
===> Epoch[60](0/704): MSE-pixel: 0.2836
===> Epoch[60](30/704): MSE-pixel: 0.2908
===> Epoch[60](60/704): MSE-pixel: 0.2997
===> Epoch[60](90/704): MSE-pixel: 0.2936
===> Epoch[60](120/704): MSE-pixel: 0.2831
===> Epoch[60](150/704): MSE-pixel: 0.2927
===> Epoch[60](180/704): MSE-pixel: 0.2923
===> Epoch[60](210/704): MSE-pixel: 0.2701
===> Epoch[60](240/704): MSE-pixel: 0.2744
===> Epoch[60](270/704): MSE-pixel: 0.2910
===> Epoch[60](300/704): MSE-pixel: 0.2920
===> Epoch[60](330/704): MSE-pixel: 0.2989
===> Epoch[60](360/704): MSE-pixel: 0.2883
===> Epoch[60](390/704): MSE-pixel: 0.2943
===> Epoch[60](420/704): MSE-pixel: 0.2872
===> Epoch[60](450/704): MSE-pixel: 0.2995
===> Epoch[60](480/704): MSE-pixel: 0.2948
===> Epoch[60](510/704): MSE-pixel: 0.2926
===> Epoch[60](540/704): MSE-pixel: 0.2678
===> Epoch[60](570/704): MSE-pixel: 0.2970
===> Epoch[60](600/704): MSE-pixel: 0.2852
===> Epoch[60](630/704): MSE-pixel: 0.2895
===> Epoch[60](660/704): MSE-pixel: 0.2996
===> Epoch[60](690/704): MSE-pixel: 0.2976
learning rate = 0.0010000
===> Epoch[61](0/704): MSE-pixel: 0.2901
===> Epoch[61](30/704): MSE-pixel: 0.3047
===> Epoch[61](60/704): MSE-pixel: 0.2779
===> Epoch[61](90/704): MSE-pixel: 0.2896
===> Epoch[61](120/704): MSE-pixel: 0.2930
===> Epoch[61](150/704): MSE-pixel: 0.2878
===> Epoch[61](180/704): MSE-pixel: 0.2817
===> Epoch[61](210/704): MSE-pixel: 0.2899
===> Epoch[61](240/704): MSE-pixel: 0.3027
===> Epoch[61](270/704): MSE-pixel: 0.3010
===> Epoch[61](300/704): MSE-pixel: 0.2923
===> Epoch[61](330/704): MSE-pixel: 0.2956
===> Epoch[61](360/704): MSE-pixel: 0.2919
===> Epoch[61](390/704): MSE-pixel: 0.3063
===> Epoch[61](420/704): MSE-pixel: 0.3036
===> Epoch[61](450/704): MSE-pixel: 0.3045
===> Epoch[61](480/704): MSE-pixel: 0.3082
===> Epoch[61](510/704): MSE-pixel: 0.2978
===> Epoch[61](540/704): MSE-pixel: 0.3072
===> Epoch[61](570/704): MSE-pixel: 0.2890
===> Epoch[61](600/704): MSE-pixel: 0.2849
===> Epoch[61](630/704): MSE-pixel: 0.2939
===> Epoch[61](660/704): MSE-pixel: 0.2825
===> Epoch[61](690/704): MSE-pixel: 0.2946
learning rate = 0.0010000
Saving
===> Epoch[62](0/704): MSE-pixel: 0.2999
===> Epoch[62](30/704): MSE-pixel: 0.2947
===> Epoch[62](60/704): MSE-pixel: 0.3003
===> Epoch[62](90/704): MSE-pixel: 0.2817
===> Epoch[62](120/704): MSE-pixel: 0.2839
===> Epoch[62](150/704): MSE-pixel: 0.2966
===> Epoch[62](180/704): MSE-pixel: 0.2903
===> Epoch[62](210/704): MSE-pixel: 0.2930
===> Epoch[62](240/704): MSE-pixel: 0.2834
===> Epoch[62](270/704): MSE-pixel: 0.2997
===> Epoch[62](300/704): MSE-pixel: 0.2884
===> Epoch[62](330/704): MSE-pixel: 0.2964
===> Epoch[62](360/704): MSE-pixel: 0.2989
===> Epoch[62](390/704): MSE-pixel: 0.2981
===> Epoch[62](420/704): MSE-pixel: 0.2890
===> Epoch[62](450/704): MSE-pixel: 0.2957
===> Epoch[62](480/704): MSE-pixel: 0.2954
===> Epoch[62](510/704): MSE-pixel: 0.2918
===> Epoch[62](540/704): MSE-pixel: 0.2979
===> Epoch[62](570/704): MSE-pixel: 0.2973
===> Epoch[62](600/704): MSE-pixel: 0.2868
===> Epoch[62](630/704): MSE-pixel: 0.2822
===> Epoch[62](660/704): MSE-pixel: 0.2939
===> Epoch[62](690/704): MSE-pixel: 0.2988
learning rate = 0.0010000
===> Epoch[63](0/704): MSE-pixel: 0.2753
===> Epoch[63](30/704): MSE-pixel: 0.2917
===> Epoch[63](60/704): MSE-pixel: 0.2977
===> Epoch[63](90/704): MSE-pixel: 0.2928
===> Epoch[63](120/704): MSE-pixel: 0.2904
===> Epoch[63](150/704): MSE-pixel: 0.2940
===> Epoch[63](180/704): MSE-pixel: 0.2909
===> Epoch[63](210/704): MSE-pixel: 0.2833
===> Epoch[63](240/704): MSE-pixel: 0.3032
===> Epoch[63](270/704): MSE-pixel: 0.2781
===> Epoch[63](300/704): MSE-pixel: 0.2981
===> Epoch[63](330/704): MSE-pixel: 0.3033
===> Epoch[63](360/704): MSE-pixel: 0.2848
===> Epoch[63](390/704): MSE-pixel: 0.2846
===> Epoch[63](420/704): MSE-pixel: 0.2934
===> Epoch[63](450/704): MSE-pixel: 0.2974
===> Epoch[63](480/704): MSE-pixel: 0.2968
===> Epoch[63](510/704): MSE-pixel: 0.2821
===> Epoch[63](540/704): MSE-pixel: 0.2726
===> Epoch[63](570/704): MSE-pixel: 0.3009
===> Epoch[63](600/704): MSE-pixel: 0.2939
===> Epoch[63](630/704): MSE-pixel: 0.2862
===> Epoch[63](660/704): MSE-pixel: 0.3042
===> Epoch[63](690/704): MSE-pixel: 0.2883
learning rate = 0.0010000
===> Epoch[64](0/704): MSE-pixel: 0.3109
===> Epoch[64](30/704): MSE-pixel: 0.2997
===> Epoch[64](60/704): MSE-pixel: 0.3105
===> Epoch[64](90/704): MSE-pixel: 0.2949
===> Epoch[64](120/704): MSE-pixel: 0.2946
===> Epoch[64](150/704): MSE-pixel: 0.2774
===> Epoch[64](180/704): MSE-pixel: 0.2895
===> Epoch[64](210/704): MSE-pixel: 0.2837
===> Epoch[64](240/704): MSE-pixel: 0.2883
===> Epoch[64](270/704): MSE-pixel: 0.2992
===> Epoch[64](300/704): MSE-pixel: 0.2943
===> Epoch[64](330/704): MSE-pixel: 0.2869
===> Epoch[64](360/704): MSE-pixel: 0.2997
===> Epoch[64](390/704): MSE-pixel: 0.2946
===> Epoch[64](420/704): MSE-pixel: 0.2796
===> Epoch[64](450/704): MSE-pixel: 0.3054
===> Epoch[64](480/704): MSE-pixel: 0.2951
===> Epoch[64](510/704): MSE-pixel: 0.2947
===> Epoch[64](540/704): MSE-pixel: 0.3051
===> Epoch[64](570/704): MSE-pixel: 0.2776
===> Epoch[64](600/704): MSE-pixel: 0.3037
===> Epoch[64](630/704): MSE-pixel: 0.2818
===> Epoch[64](660/704): MSE-pixel: 0.2872
===> Epoch[64](690/704): MSE-pixel: 0.2908
learning rate = 0.0010000
===> Epoch[65](0/704): MSE-pixel: 0.2822
===> Epoch[65](30/704): MSE-pixel: 0.2973
===> Epoch[65](60/704): MSE-pixel: 0.2813
===> Epoch[65](90/704): MSE-pixel: 0.2917
===> Epoch[65](120/704): MSE-pixel: 0.2840
===> Epoch[65](150/704): MSE-pixel: 0.2919
===> Epoch[65](180/704): MSE-pixel: 0.2875
===> Epoch[65](210/704): MSE-pixel: 0.2934
===> Epoch[65](240/704): MSE-pixel: 0.3100
===> Epoch[65](270/704): MSE-pixel: 0.3166
===> Epoch[65](300/704): MSE-pixel: 0.2907
===> Epoch[65](330/704): MSE-pixel: 0.2987
===> Epoch[65](360/704): MSE-pixel: 0.3047
===> Epoch[65](390/704): MSE-pixel: 0.2873
===> Epoch[65](420/704): MSE-pixel: 0.2897
===> Epoch[65](450/704): MSE-pixel: 0.2894
===> Epoch[65](480/704): MSE-pixel: 0.2927
===> Epoch[65](510/704): MSE-pixel: 0.2847
===> Epoch[65](540/704): MSE-pixel: 0.2837
===> Epoch[65](570/704): MSE-pixel: 0.2944
===> Epoch[65](600/704): MSE-pixel: 0.2886
===> Epoch[65](630/704): MSE-pixel: 0.2769
===> Epoch[65](660/704): MSE-pixel: 0.2998
===> Epoch[65](690/704): MSE-pixel: 0.2935
learning rate = 0.0010000
===> Epoch[66](0/704): MSE-pixel: 0.2940
===> Epoch[66](30/704): MSE-pixel: 0.2847
===> Epoch[66](60/704): MSE-pixel: 0.3002
===> Epoch[66](90/704): MSE-pixel: 0.2860
===> Epoch[66](120/704): MSE-pixel: 0.2826
===> Epoch[66](150/704): MSE-pixel: 0.2878
===> Epoch[66](180/704): MSE-pixel: 0.2933
===> Epoch[66](210/704): MSE-pixel: 0.2886
===> Epoch[66](240/704): MSE-pixel: 0.2959
===> Epoch[66](270/704): MSE-pixel: 0.2920
===> Epoch[66](300/704): MSE-pixel: 0.3069
===> Epoch[66](330/704): MSE-pixel: 0.2831
===> Epoch[66](360/704): MSE-pixel: 0.2858
===> Epoch[66](390/704): MSE-pixel: 0.2879
===> Epoch[66](420/704): MSE-pixel: 0.2914
===> Epoch[66](450/704): MSE-pixel: 0.2872
===> Epoch[66](480/704): MSE-pixel: 0.2798
===> Epoch[66](510/704): MSE-pixel: 0.2860
===> Epoch[66](540/704): MSE-pixel: 0.2861
===> Epoch[66](570/704): MSE-pixel: 0.2785
===> Epoch[66](600/704): MSE-pixel: 0.2928
===> Epoch[66](630/704): MSE-pixel: 0.2974
===> Epoch[66](660/704): MSE-pixel: 0.2985
===> Epoch[66](690/704): MSE-pixel: 0.2862
learning rate = 0.0010000
===> Epoch[67](0/704): MSE-pixel: 0.2931
===> Epoch[67](30/704): MSE-pixel: 0.2734
===> Epoch[67](60/704): MSE-pixel: 0.2961
===> Epoch[67](90/704): MSE-pixel: 0.2947
===> Epoch[67](120/704): MSE-pixel: 0.2791
===> Epoch[67](150/704): MSE-pixel: 0.2776
===> Epoch[67](180/704): MSE-pixel: 0.2912
===> Epoch[67](210/704): MSE-pixel: 0.2907
===> Epoch[67](240/704): MSE-pixel: 0.2863
===> Epoch[67](270/704): MSE-pixel: 0.2971
===> Epoch[67](300/704): MSE-pixel: 0.2878
===> Epoch[67](330/704): MSE-pixel: 0.3057
===> Epoch[67](360/704): MSE-pixel: 0.2917
===> Epoch[67](390/704): MSE-pixel: 0.2754
===> Epoch[67](420/704): MSE-pixel: 0.2877
===> Epoch[67](450/704): MSE-pixel: 0.3090
===> Epoch[67](480/704): MSE-pixel: 0.2870
===> Epoch[67](510/704): MSE-pixel: 0.2942
===> Epoch[67](540/704): MSE-pixel: 0.2895
===> Epoch[67](570/704): MSE-pixel: 0.2911
===> Epoch[67](600/704): MSE-pixel: 0.2977
===> Epoch[67](630/704): MSE-pixel: 0.2835
===> Epoch[67](660/704): MSE-pixel: 0.2974
===> Epoch[67](690/704): MSE-pixel: 0.3077
learning rate = 0.0010000
===> Epoch[68](0/704): MSE-pixel: 0.2840
===> Epoch[68](30/704): MSE-pixel: 0.2888
===> Epoch[68](60/704): MSE-pixel: 0.2945
===> Epoch[68](90/704): MSE-pixel: 0.2780
===> Epoch[68](120/704): MSE-pixel: 0.2807
===> Epoch[68](150/704): MSE-pixel: 0.3077
===> Epoch[68](180/704): MSE-pixel: 0.2908
===> Epoch[68](210/704): MSE-pixel: 0.2881
===> Epoch[68](240/704): MSE-pixel: 0.3018
===> Epoch[68](270/704): MSE-pixel: 0.2965
===> Epoch[68](300/704): MSE-pixel: 0.3017
===> Epoch[68](330/704): MSE-pixel: 0.2894
===> Epoch[68](360/704): MSE-pixel: 0.2977
===> Epoch[68](390/704): MSE-pixel: 0.2849
===> Epoch[68](420/704): MSE-pixel: 0.2827
===> Epoch[68](450/704): MSE-pixel: 0.2935
===> Epoch[68](480/704): MSE-pixel: 0.2835
===> Epoch[68](510/704): MSE-pixel: 0.2924
===> Epoch[68](540/704): MSE-pixel: 0.3099
===> Epoch[68](570/704): MSE-pixel: 0.3082
===> Epoch[68](600/704): MSE-pixel: 0.2881
===> Epoch[68](630/704): MSE-pixel: 0.2905
===> Epoch[68](660/704): MSE-pixel: 0.2958
===> Epoch[68](690/704): MSE-pixel: 0.2810
learning rate = 0.0010000
===> Epoch[69](0/704): MSE-pixel: 0.3010
===> Epoch[69](30/704): MSE-pixel: 0.2776
===> Epoch[69](60/704): MSE-pixel: 0.2849
===> Epoch[69](90/704): MSE-pixel: 0.3054
===> Epoch[69](120/704): MSE-pixel: 0.2888
===> Epoch[69](150/704): MSE-pixel: 0.2769
===> Epoch[69](180/704): MSE-pixel: 0.2835
===> Epoch[69](210/704): MSE-pixel: 0.3069
===> Epoch[69](240/704): MSE-pixel: 0.2967
===> Epoch[69](270/704): MSE-pixel: 0.2862
===> Epoch[69](300/704): MSE-pixel: 0.2825
===> Epoch[69](330/704): MSE-pixel: 0.2967
===> Epoch[69](360/704): MSE-pixel: 0.2962
===> Epoch[69](390/704): MSE-pixel: 0.3095
===> Epoch[69](420/704): MSE-pixel: 0.2944
===> Epoch[69](450/704): MSE-pixel: 0.2744
===> Epoch[69](480/704): MSE-pixel: 0.3045
===> Epoch[69](510/704): MSE-pixel: 0.2962
===> Epoch[69](540/704): MSE-pixel: 0.2962
===> Epoch[69](570/704): MSE-pixel: 0.2706
===> Epoch[69](600/704): MSE-pixel: 0.2836
===> Epoch[69](630/704): MSE-pixel: 0.2757
===> Epoch[69](660/704): MSE-pixel: 0.2983
===> Epoch[69](690/704): MSE-pixel: 0.3062
learning rate = 0.0010000
===> Epoch[70](0/704): MSE-pixel: 0.2984
===> Epoch[70](30/704): MSE-pixel: 0.2876
===> Epoch[70](60/704): MSE-pixel: 0.2849
===> Epoch[70](90/704): MSE-pixel: 0.3195
===> Epoch[70](120/704): MSE-pixel: 0.2972
===> Epoch[70](150/704): MSE-pixel: 0.2895
===> Epoch[70](180/704): MSE-pixel: 0.2964
===> Epoch[70](210/704): MSE-pixel: 0.2978
===> Epoch[70](240/704): MSE-pixel: 0.2901
===> Epoch[70](270/704): MSE-pixel: 0.2812
===> Epoch[70](300/704): MSE-pixel: 0.2945
===> Epoch[70](330/704): MSE-pixel: 0.2820
===> Epoch[70](360/704): MSE-pixel: 0.2745
===> Epoch[70](390/704): MSE-pixel: 0.3046
===> Epoch[70](420/704): MSE-pixel: 0.2833
===> Epoch[70](450/704): MSE-pixel: 0.2886
===> Epoch[70](480/704): MSE-pixel: 0.2808
===> Epoch[70](510/704): MSE-pixel: 0.2834
===> Epoch[70](540/704): MSE-pixel: 0.2925
===> Epoch[70](570/704): MSE-pixel: 0.2932
===> Epoch[70](600/704): MSE-pixel: 0.2958
===> Epoch[70](630/704): MSE-pixel: 0.2796
===> Epoch[70](660/704): MSE-pixel: 0.2713
===> Epoch[70](690/704): MSE-pixel: 0.2853
learning rate = 0.0010000
===> Epoch[71](0/704): MSE-pixel: 0.2910
===> Epoch[71](30/704): MSE-pixel: 0.3042
===> Epoch[71](60/704): MSE-pixel: 0.2955
===> Epoch[71](90/704): MSE-pixel: 0.2878
===> Epoch[71](120/704): MSE-pixel: 0.2887
===> Epoch[71](150/704): MSE-pixel: 0.2875
===> Epoch[71](180/704): MSE-pixel: 0.3088
===> Epoch[71](210/704): MSE-pixel: 0.3058
===> Epoch[71](240/704): MSE-pixel: 0.2954
===> Epoch[71](270/704): MSE-pixel: 0.2796
===> Epoch[71](300/704): MSE-pixel: 0.2823
===> Epoch[71](330/704): MSE-pixel: 0.2933
===> Epoch[71](360/704): MSE-pixel: 0.2872
===> Epoch[71](390/704): MSE-pixel: 0.2945
===> Epoch[71](420/704): MSE-pixel: 0.2848
===> Epoch[71](450/704): MSE-pixel: 0.2955
===> Epoch[71](480/704): MSE-pixel: 0.2961
===> Epoch[71](510/704): MSE-pixel: 0.3034
===> Epoch[71](540/704): MSE-pixel: 0.3021
===> Epoch[71](570/704): MSE-pixel: 0.3016
===> Epoch[71](600/704): MSE-pixel: 0.2794
===> Epoch[71](630/704): MSE-pixel: 0.2930
===> Epoch[71](660/704): MSE-pixel: 0.2949
===> Epoch[71](690/704): MSE-pixel: 0.2995
learning rate = 0.0010000
Saving
===> Epoch[72](0/704): MSE-pixel: 0.2873
===> Epoch[72](30/704): MSE-pixel: 0.2863
===> Epoch[72](60/704): MSE-pixel: 0.2967
===> Epoch[72](90/704): MSE-pixel: 0.2991
===> Epoch[72](120/704): MSE-pixel: 0.2984
===> Epoch[72](150/704): MSE-pixel: 0.2995
===> Epoch[72](180/704): MSE-pixel: 0.3022
===> Epoch[72](210/704): MSE-pixel: 0.2831
===> Epoch[72](240/704): MSE-pixel: 0.2953
===> Epoch[72](270/704): MSE-pixel: 0.2905
===> Epoch[72](300/704): MSE-pixel: 0.2842
===> Epoch[72](330/704): MSE-pixel: 0.2871
===> Epoch[72](360/704): MSE-pixel: 0.2956
===> Epoch[72](390/704): MSE-pixel: 0.3003
===> Epoch[72](420/704): MSE-pixel: 0.2912
===> Epoch[72](450/704): MSE-pixel: 0.2892
===> Epoch[72](480/704): MSE-pixel: 0.2961
===> Epoch[72](510/704): MSE-pixel: 0.2871
===> Epoch[72](540/704): MSE-pixel: 0.2994
===> Epoch[72](570/704): MSE-pixel: 0.2856
===> Epoch[72](600/704): MSE-pixel: 0.2944
===> Epoch[72](630/704): MSE-pixel: 0.3034
===> Epoch[72](660/704): MSE-pixel: 0.2948
===> Epoch[72](690/704): MSE-pixel: 0.3029
learning rate = 0.0010000
===> Epoch[73](0/704): MSE-pixel: 0.2923
===> Epoch[73](30/704): MSE-pixel: 0.2943
===> Epoch[73](60/704): MSE-pixel: 0.2918
===> Epoch[73](90/704): MSE-pixel: 0.2866
===> Epoch[73](120/704): MSE-pixel: 0.2931
===> Epoch[73](150/704): MSE-pixel: 0.2891
===> Epoch[73](180/704): MSE-pixel: 0.2729
===> Epoch[73](210/704): MSE-pixel: 0.2815
===> Epoch[73](240/704): MSE-pixel: 0.2803
===> Epoch[73](270/704): MSE-pixel: 0.2991
===> Epoch[73](300/704): MSE-pixel: 0.2997
===> Epoch[73](330/704): MSE-pixel: 0.2955
===> Epoch[73](360/704): MSE-pixel: 0.2987
===> Epoch[73](390/704): MSE-pixel: 0.2951
===> Epoch[73](420/704): MSE-pixel: 0.2789
===> Epoch[73](450/704): MSE-pixel: 0.2844
===> Epoch[73](480/704): MSE-pixel: 0.2822
===> Epoch[73](510/704): MSE-pixel: 0.2910
===> Epoch[73](540/704): MSE-pixel: 0.2931
===> Epoch[73](570/704): MSE-pixel: 0.2879
===> Epoch[73](600/704): MSE-pixel: 0.2822
===> Epoch[73](630/704): MSE-pixel: 0.3086
===> Epoch[73](660/704): MSE-pixel: 0.2877
===> Epoch[73](690/704): MSE-pixel: 0.2916
learning rate = 0.0010000
===> Epoch[74](0/704): MSE-pixel: 0.2864
===> Epoch[74](30/704): MSE-pixel: 0.2938
===> Epoch[74](60/704): MSE-pixel: 0.3017
===> Epoch[74](90/704): MSE-pixel: 0.2923
===> Epoch[74](120/704): MSE-pixel: 0.2842
===> Epoch[74](150/704): MSE-pixel: 0.2950
===> Epoch[74](180/704): MSE-pixel: 0.2898
===> Epoch[74](210/704): MSE-pixel: 0.2885
===> Epoch[74](240/704): MSE-pixel: 0.2738
===> Epoch[74](270/704): MSE-pixel: 0.2940
===> Epoch[74](300/704): MSE-pixel: 0.2744
===> Epoch[74](330/704): MSE-pixel: 0.2749
