{'target': {'mean': array([-0.4510391], dtype=float32), 'std': array([0.38355893], dtype=float32), 'min': array([-4.1388025], dtype=float32), 'max': array([3.3192787], dtype=float32)}, 'input': {'mean': array([-0.39840052], dtype=float32), 'std': array([0.27414468], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[5](390/704): MSE-pixel: 0.2286
===> Epoch[5](420/704): MSE-pixel: 0.2519
===> Epoch[5](450/704): MSE-pixel: 0.2563
===> Epoch[5](480/704): MSE-pixel: 0.2497
===> Epoch[5](510/704): MSE-pixel: 0.2431
===> Epoch[5](540/704): MSE-pixel: 0.2408
===> Epoch[5](570/704): MSE-pixel: 0.2401
===> Epoch[5](600/704): MSE-pixel: 0.2441
===> Epoch[5](630/704): MSE-pixel: 0.2327
===> Epoch[5](660/704): MSE-pixel: 0.2630
===> Epoch[5](690/704): MSE-pixel: 0.2281
learning rate = 0.0010000
===> Epoch[6](0/704): MSE-pixel: 0.2519
===> Epoch[6](30/704): MSE-pixel: 0.2438
===> Epoch[6](60/704): MSE-pixel: 0.2401
===> Epoch[6](90/704): MSE-pixel: 0.2270
===> Epoch[6](120/704): MSE-pixel: 0.2294
===> Epoch[6](150/704): MSE-pixel: 0.2461
===> Epoch[6](180/704): MSE-pixel: 0.2371
===> Epoch[6](210/704): MSE-pixel: 0.2394
===> Epoch[6](240/704): MSE-pixel: 0.2491
===> Epoch[6](270/704): MSE-pixel: 0.2265
===> Epoch[6](300/704): MSE-pixel: 0.2543
===> Epoch[6](330/704): MSE-pixel: 0.2140
===> Epoch[6](360/704): MSE-pixel: 0.2422
===> Epoch[6](390/704): MSE-pixel: 0.2504
===> Epoch[6](420/704): MSE-pixel: 0.2203
===> Epoch[6](450/704): MSE-pixel: 0.2509
===> Epoch[6](480/704): MSE-pixel: 0.2506
===> Epoch[6](510/704): MSE-pixel: 0.2352
===> Epoch[6](540/704): MSE-pixel: 0.2280
===> Epoch[6](570/704): MSE-pixel: 0.2271
===> Epoch[6](600/704): MSE-pixel: 0.2349
===> Epoch[6](630/704): MSE-pixel: 0.2179
===> Epoch[6](660/704): MSE-pixel: 0.2484
===> Epoch[6](690/704): MSE-pixel: 0.2456
learning rate = 0.0010000
===> Epoch[7](0/704): MSE-pixel: 0.2501
===> Epoch[7](30/704): MSE-pixel: 0.2235
===> Epoch[7](60/704): MSE-pixel: 0.2244
===> Epoch[7](90/704): MSE-pixel: 0.2185
===> Epoch[7](120/704): MSE-pixel: 0.2533
===> Epoch[7](150/704): MSE-pixel: 0.2522
===> Epoch[7](180/704): MSE-pixel: 0.2175
===> Epoch[7](210/704): MSE-pixel: 0.2429
===> Epoch[7](240/704): MSE-pixel: 0.2371
===> Epoch[7](270/704): MSE-pixel: 0.2354
===> Epoch[7](300/704): MSE-pixel: 0.2408
===> Epoch[7](330/704): MSE-pixel: 0.2387
===> Epoch[7](360/704): MSE-pixel: 0.2111
===> Epoch[7](390/704): MSE-pixel: 0.2291
===> Epoch[7](420/704): MSE-pixel: 0.2186
===> Epoch[7](450/704): MSE-pixel: 0.2272
===> Epoch[7](480/704): MSE-pixel: 0.2232
===> Epoch[7](510/704): MSE-pixel: 0.2100
===> Epoch[7](540/704): MSE-pixel: 0.2344
===> Epoch[7](570/704): MSE-pixel: 0.2427
===> Epoch[7](600/704): MSE-pixel: 0.2361
===> Epoch[7](630/704): MSE-pixel: 0.2017
===> Epoch[7](660/704): MSE-pixel: 0.2559
===> Epoch[7](690/704): MSE-pixel: 0.2287
learning rate = 0.0010000
===> Epoch[8](0/704): MSE-pixel: 0.2359
===> Epoch[8](30/704): MSE-pixel: 0.2262
===> Epoch[8](60/704): MSE-pixel: 0.2098
===> Epoch[8](90/704): MSE-pixel: 0.2321
===> Epoch[8](120/704): MSE-pixel: 0.2293
===> Epoch[8](150/704): MSE-pixel: 0.2162
===> Epoch[8](180/704): MSE-pixel: 0.2374
===> Epoch[8](210/704): MSE-pixel: 0.2296
===> Epoch[8](240/704): MSE-pixel: 0.2146
===> Epoch[8](270/704): MSE-pixel: 0.2509
===> Epoch[8](300/704): MSE-pixel: 0.2226
===> Epoch[8](330/704): MSE-pixel: 0.2325
===> Epoch[8](360/704): MSE-pixel: 0.2287
===> Epoch[8](390/704): MSE-pixel: 0.2331
===> Epoch[8](420/704): MSE-pixel: 0.2326
===> Epoch[8](450/704): MSE-pixel: 0.2419
===> Epoch[8](480/704): MSE-pixel: 0.2198
===> Epoch[8](510/704): MSE-pixel: 0.2128
===> Epoch[8](540/704): MSE-pixel: 0.2121
===> Epoch[8](570/704): MSE-pixel: 0.2131
===> Epoch[8](600/704): MSE-pixel: 0.2178
===> Epoch[8](630/704): MSE-pixel: 0.2238
===> Epoch[8](660/704): MSE-pixel: 0.2433
===> Epoch[8](690/704): MSE-pixel: 0.2146
learning rate = 0.0010000
===> Epoch[9](0/704): MSE-pixel: 0.2246
===> Epoch[9](30/704): MSE-pixel: 0.2121
===> Epoch[9](60/704): MSE-pixel: 0.2262
===> Epoch[9](90/704): MSE-pixel: 0.2037
===> Epoch[9](120/704): MSE-pixel: 0.2142
===> Epoch[9](150/704): MSE-pixel: 0.2146
===> Epoch[9](180/704): MSE-pixel: 0.2173
===> Epoch[9](210/704): MSE-pixel: 0.2307
===> Epoch[9](240/704): MSE-pixel: 0.2126
===> Epoch[9](270/704): MSE-pixel: 0.2312
===> Epoch[9](300/704): MSE-pixel: 0.2316
===> Epoch[9](330/704): MSE-pixel: 0.2181
===> Epoch[9](360/704): MSE-pixel: 0.2194
===> Epoch[9](390/704): MSE-pixel: 0.2035
===> Epoch[9](420/704): MSE-pixel: 0.2442
===> Epoch[9](450/704): MSE-pixel: 0.2149
===> Epoch[9](480/704): MSE-pixel: 0.2083
===> Epoch[9](510/704): MSE-pixel: 0.2091
===> Epoch[9](540/704): MSE-pixel: 0.2211
===> Epoch[9](570/704): MSE-pixel: 0.2412
===> Epoch[9](600/704): MSE-pixel: 0.2191
===> Epoch[9](630/704): MSE-pixel: 0.1995
===> Epoch[9](660/704): MSE-pixel: 0.2244
===> Epoch[9](690/704): MSE-pixel: 0.2039
learning rate = 0.0010000
===> Epoch[10](0/704): MSE-pixel: 0.2063
===> Epoch[10](30/704): MSE-pixel: 0.2242
===> Epoch[10](60/704): MSE-pixel: 0.2121
===> Epoch[10](90/704): MSE-pixel: 0.2298
===> Epoch[10](120/704): MSE-pixel: 0.2056
===> Epoch[10](150/704): MSE-pixel: 0.2081
===> Epoch[10](180/704): MSE-pixel: 0.2131
===> Epoch[10](210/704): MSE-pixel: 0.2017
===> Epoch[10](240/704): MSE-pixel: 0.2074
===> Epoch[10](270/704): MSE-pixel: 0.2042
===> Epoch[10](300/704): MSE-pixel: 0.2254
===> Epoch[10](330/704): MSE-pixel: 0.2076
===> Epoch[10](360/704): MSE-pixel: 0.1932
===> Epoch[10](390/704): MSE-pixel: 0.2121
===> Epoch[10](420/704): MSE-pixel: 0.2073
===> Epoch[10](450/704): MSE-pixel: 0.2102
===> Epoch[10](480/704): MSE-pixel: 0.2066
===> Epoch[10](510/704): MSE-pixel: 0.2253
===> Epoch[10](540/704): MSE-pixel: 0.2224
===> Epoch[10](570/704): MSE-pixel: 0.1935
===> Epoch[10](600/704): MSE-pixel: 0.2219
===> Epoch[10](630/704): MSE-pixel: 0.2115
===> Epoch[10](660/704): MSE-pixel: 0.2159
===> Epoch[10](690/704): MSE-pixel: 0.1857
learning rate = 0.0010000
===> Epoch[11](0/704): MSE-pixel: 0.2137
===> Epoch[11](30/704): MSE-pixel: 0.1907
